,1h_rmse,1h_mae,1h_mbe,1h_corr,1h_r2
"(1, 1)",85.53504709305243,59.72115495389726,-29.362840892020312,0.6816916382650362,0.3912625687545678
"(1, 2)",108.39997164719928,79.90154255830845,-41.891104050807556,0.41207013929343644,0.022312310344042907
"(1, 3)",116.40920894658271,88.62984090324817,-47.34692764224702,0.24862604530084453,-0.1274998316545104
"(1, 4)",118.73494230767528,90.82872090224193,-49.758376483116095,0.19417733669974913,-0.17300240027299463
"(2, 1)",83.1665784258212,59.47094700879492,-27.355917968600814,0.7014294736810853,0.4245077512024299
"(2, 2)",100.92088830967556,76.29318228496687,-35.09321891242141,0.5151021830197027,0.1525697964988132
"(2, 3)",108.2638980302801,83.85622569956908,-40.455265043014435,0.436310082732403,0.024765336810265715
"(2, 4)",110.44716093566676,85.54758769017437,-42.61735135867377,0.4241589843346567,-0.01496466538292296
"(3, 1)",81.21121801906862,58.47919409647491,-25.097520705388327,0.7139782935594545,0.45125085321812886
"(3, 2)",94.47630493852277,72.20275817824796,-29.525098118213982,0.5876085327635356,0.25734414695244534
"(3, 3)",98.57524460671408,77.15053369295984,-31.372713168206968,0.5499827649324098,0.19150463126181494
"(3, 4)",100.11136409388074,78.09551484744325,-33.25361909896747,0.5464852632152377,0.16611038041074644
"(4, 1)",81.61489784010617,58.90542475761211,-24.974744146246675,0.7107150582117472,0.4457819163072937
"(4, 2)",92.98352815496416,71.05438048671063,-27.872511729613585,0.5999157943846629,0.2806274669920732
"(4, 3)",95.51423382602526,74.36264544695666,-28.75443838024565,0.5772540465091255,0.24093668585071915
"(4, 4)",96.05417149635062,74.51442240852208,-29.716103471887283,0.577471077430902,0.23233052771082507
"(5, 1)",82.26475657684041,59.566273544211846,-25.330930713788693,0.7073888966633907,0.4369208535760535
"(5, 2)",93.1751481173494,71.31125597424678,-27.69399055818151,0.5972371384472203,0.2776594536944649
"(5, 3)",95.74548437930272,74.4108984304134,-28.953312633056306,0.5735158800244367,0.23725668345228335
"(5, 4)",95.85594582062774,74.33761425376109,-29.06151780947709,0.5742552748164262,0.23549571627224886
