,1h_rmse,1h_mae,1h_corr,1h_r2
"(1, 1)",71.6513133863509,52.8895571872953,0.7589201414036163,0.5728538671291135
"(1, 2)",94.81920230374907,73.63971803749958,0.5202150644834724,0.2519669913291086
"(1, 3)",104.67857118671802,83.50217542547746,0.36292902220256945,0.08831724490899096
"(2, 1)",69.37966432404508,51.317241732914304,0.7753282596879953,0.5995091885852806
"(2, 2)",89.45666578299799,69.91928844278061,0.5880353115781802,0.3341849891231694
"(2, 3)",97.15946224751245,78.10105835252631,0.4943288829610222,0.21458648038500516
"(3, 1)",68.94707617597919,50.96802422969412,0.7783012867291624,0.6044878079939093
"(3, 2)",86.56135905993345,67.75426892005085,0.6210674276782819,0.37658635921406114
"(3, 3)",92.1855860236124,73.91926040247509,0.5640911523349736,0.2929433528673645
"(4, 1)",68.9438007123787,51.155339874713825,0.7781020170164309,0.6045253862376303
"(4, 2)",86.32691753092486,67.58999241683539,0.62251650345622,0.37995867517548665
"(4, 3)",91.16505464354896,73.08641580335345,0.5734130979894043,0.3085115012721451
"(5, 1)",68.91690517024185,51.101279482492146,0.7784084086464922,0.6048338818336046
"(5, 2)",86.23535802287596,67.5032853238902,0.6237591424878652,0.38127322628920923
"(5, 3)",91.12653335879365,72.98036486073842,0.573909702130328,0.30909574701862064
